block,timestep,rel_l2,mean_cos,cos_dist,frac_tokens_cos_below_0p9,baseline_token_norm_mean,injected_token_norm_mean,norm_ratio
0,0,0.09375379979610443,0.9963081479072571,0.00369185209274292,0.0,44.2626953125,44.82218551635742,1.0126402199393272
0,2,0.10750523209571838,0.9944325089454651,0.005567491054534912,0.0,43.2969856262207,43.855186462402344,1.0128923717923586
0,4,0.11955908685922623,0.9930060505867004,0.0069939494132995605,0.0,43.988258361816406,44.27748107910156,1.0065749981485108
0,6,0.13544687628746033,0.9910074472427368,0.008992552757263184,0.0,45.076011657714844,45.24174499511719,1.0036767524744834
0,8,0.15112201869487762,0.988864541053772,0.011135458946228027,0.0,46.17317581176758,46.15138626098633,0.9995280907063859
0,10,0.16736361384391785,0.9863941073417664,0.013605892658233643,0.0,47.19786834716797,47.07636260986328,0.9974256096395935
0,12,0.1833762675523758,0.9837468862533569,0.016253113746643066,0.0,48.15186309814453,47.82474136352539,0.9932064573710805
0,14,0.19762802124023438,0.9811319708824158,0.01886802911758423,0.0,48.99701690673828,48.59038543701172,0.9917008933319236
0,16,0.21861626207828522,0.9769511818885803,0.023048818111419678,0.0,49.85213088989258,49.352848052978516,0.989984724263506
0,18,0.23422835767269135,0.9735809564590454,0.02641904354095459,0.0,50.49436569213867,49.89826583862305,0.988194725384808
0,20,0.25070804357528687,0.9696288108825684,0.03037118911743164,0.0,51.07358932495117,50.462677001953125,0.9880385864578428
0,30,0.34193190932273865,0.9416963458061218,0.058303654193878174,0.039346590638160706,51.73934555053711,51.694915771484375,0.9991412767482856
0,40,0.5421671271324158,0.848434329032898,0.15156567096710205,0.7679687738418579,47.66356658935547,48.72935104370117,1.0223605686819022
0,49,1.008461833000183,0.44847631454467773,0.5515236854553223,1.0,40.76202392578125,44.491268157958984,1.0914882008549889
5,0,0.24971729516983032,0.9708629250526428,0.029137074947357178,7.102272502379492e-05,54.823081970214844,55.25746154785156,1.0079232973051884
5,2,0.43125033378601074,0.9044716358184814,0.09552836418151855,0.3931107819080353,43.29226303100586,45.89146423339844,1.060038469241745
5,4,0.4598367214202881,0.8956212997436523,0.10437870025634766,0.5543323755264282,42.19218826293945,41.85436248779297,0.9919931677152848
5,6,0.489205926656723,0.88511061668396,0.11488938331604004,0.7205255627632141,41.72957229614258,40.262611389160156,0.9648460114431121
5,8,0.5149139165878296,0.8754671216011047,0.12453287839889526,0.8102983236312866,41.50297546386719,39.32771301269531,0.9475877951674652
