block,timestep,prev_block,rel_l2,mean_cos,cos_dist,frac_tokens_cos_below_0p9,token_norm_mean,token_norm_std,act_absmax
0,0,,nan,nan,nan,nan,44.2626953125,6.763421058654785,72.5625
5,0,0,0.3761816918849945,0.944709062576294,0.055290937423706055,0.0049715908244252205,54.823081970214844,4.8853678703308105,71.375
10,0,5,0.3656153380870819,0.9366956353187561,0.0633043646812439,0.059872157871723175,57.85597610473633,7.2967987060546875,87.375
15,0,10,0.38570645451545715,0.9347355365753174,0.06526446342468262,0.05333806946873665,62.778568267822266,12.578533172607422,276.5
20,0,15,0.4007221460342407,0.9427959322929382,0.05720406770706177,0.010795454494655132,55.818824768066406,15.555387496948242,455.0
25,0,20,0.3639863431453705,0.9652617573738098,0.034738242626190186,0.0007812500116415322,53.23649215698242,5.066160202026367,100.625
29,0,25,1.1080528497695923,-0.003161903703585267,1.0031619037035853,1.0,114.52670288085938,0.32065442204475403,84.6875
0,2,,nan,nan,nan,nan,43.2969856262207,4.8976826667785645,63.15625
5,2,0,0.4025178551673889,0.9203149676322937,0.0796850323677063,0.09268465638160706,43.29226303100586,4.818768501281738,65.875
10,2,5,0.47471529245376587,0.8890464305877686,0.11095356941223145,0.6496449112892151,47.57232666015625,5.500279426574707,65.125
15,2,10,0.4792520999908447,0.8939491510391235,0.10605084896087646,0.5385653376579285,49.30199432373047,10.579148292541504,280.75
20,2,15,0.5882528424263,0.8800764679908752,0.11992353200912476,0.7943181991577148,40.21947479248047,13.885100364685059,455.25
25,2,20,0.5090702176094055,0.9125808477401733,0.08741915225982666,0.16875000298023224,39.883235931396484,3.607287883758545,101.875
29,2,25,1.0484520196914673,0.04570611193776131,0.9542938880622387,1.0,113.13240051269531,0.3714134097099304,84.1875
0,4,,nan,nan,nan,nan,43.988258361816406,3.9081413745880127,58.84375
5,4,0,0.4231862723827362,0.9153385758399963,0.08466142416000366,0.1568892002105713,42.19218826293945,4.696934223175049,64.125
10,4,5,0.4822044372558594,0.8849472999572754,0.11505270004272461,0.7409800887107849,45.8145637512207,4.754549026489258,61.625
15,4,10,0.48658081889152527,0.8910419344902039,0.10895806550979614,0.5904119610786438,47.12130355834961,9.561799049377441,284.25
20,4,15,0.6044175624847412,0.8716023564338684,0.1283976435661316,0.8616477251052856,38.44306182861328,13.891597747802734,471.25
25,4,20,0.5274300575256348,0.9043603539466858,0.09563964605331421,0.3416193127632141,38.409584045410156,3.6748452186584473,107.3125
29,4,25,1.043764591217041,0.05122555419802666,0.9487744458019733,1.0,111.99104309082031,0.3813876807689667,85.3125
0,6,,nan,nan,nan,nan,45.076011657714844,3.3538169860839844,57.5
5,6,0,0.4482335150241852,0.9098467230796814,0.0901532769203186,0.2542613744735718,41.72957229614258,4.634467601776123,63.3125
10,6,5,0.4886853098869324,0.881527304649353,0.11847269535064697,0.7824574112892151,44.69736862182617,4.230639457702637,63.40625
15,6,10,0.48999783396720886,0.8889941573143005,0.11100584268569946,0.6332386136054993,45.93559265136719,8.930374145507812,272.5
20,6,15,0.6093608140945435,0.8663490414619446,0.13365095853805542,0.8895596861839294,37.746826171875,13.614031791687012,462.5
25,6,20,0.5405872464179993,0.8954682350158691,0.10453176498413086,0.47940340638160706,37.82880783081055,3.6684327125549316,111.9375
29,6,25,1.040299654006958,0.060517504811286926,0.9394824951887131,1.0,110.84310913085938,0.41504618525505066,84.5
0,8,,nan,nan,nan,nan,46.17317581176758,2.9831533432006836,56.90625
5,8,0,0.47090327739715576,0.9057663679122925,0.09423363208770752,0.33643466234207153,41.50297546386719,4.511861324310303,63.09375
10,8,5,0.4939703941345215,0.8792901635169983,0.12070983648300171,0.8053977489471436,43.8533821105957,3.918532371520996,64.4375
15,8,10,0.4916270673274994,0.8876767754554749,0.11232322454452515,0.6568892002105713,45.01740646362305,8.426029205322266,275.25
20,8,15,0.61182701587677,0.8633497953414917,0.1366502046585083,0.8992897868156433,37.22244644165039,13.311904907226562,478.5
25,8,20,0.551093578338623,0.8873463273048401,0.11265367269515991,0.5951704382896423,37.34633255004883,3.624364137649536,112.5625
29,8,25,1.036346673965454,0.0721842497587204,0.9278157502412796,1.0,109.61946105957031,0.4522922933101654,84.3125
0,10,,nan,nan,nan,nan,47.19786834716797,2.717501401901245,56.59375
5,10,0,0.4935426712036133,0.9015241861343384,0.09847581386566162,0.42805397510528564,41.369361877441406,4.392755508422852,63.15625
10,10,5,0.4989190101623535,0.8772141933441162,0.12278580665588379,0.8217329382896423,43.27769088745117,3.6206915378570557,64.0625
15,10,10,0.49355942010879517,0.8867040872573853,0.11329591274261475,0.6705965995788574,44.29814910888672,8.126218795776367,268.75
20,10,15,0.617709219455719,0.8595833778381348,0.14041662216186523,0.9135653376579285,36.789093017578125,13.204785346984863,486.0
25,10,20,0.5642588138580322,0.8789045810699463,0.12109541893005371,0.6840198636054993,37.03689956665039,3.6359798908233643,113.3125
29,10,25,1.033769965171814,0.08116132020950317,0.9188386797904968,1.0,108.35856628417969,0.476814866065979,83.625
0,12,,nan,nan,nan,nan,48.15186309814453,2.5228779315948486,56.46875
5,12,0,0.5167410373687744,0.8967610597610474,0.10323894023895264,0.5220170617103577,41.28934097290039,4.2916035652160645,62.8125
10,12,5,0.5047487616539001,0.8747255206108093,0.12527447938919067,0.8362215757369995,42.74878692626953,3.3910746574401855,61.9375
15,12,10,0.49775949120521545,0.8849564790725708,0.1150435209274292,0.6965909004211426,43.61069869995117,7.9671711921691895,273.25
20,12,15,0.6207813024520874,0.8560929894447327,0.14390701055526733,0.9318181872367859,36.44500732421875,13.151799201965332,480.25
25,12,20,0.5764051675796509,0.8713424801826477,0.1286575198173523,0.750213086605072,36.816219329833984,3.582174062728882,115.4375
29,12,25,1.0312151908874512,0.09048382192850113,0.9095161780714989,1.0,107.05949401855469,0.5004702806472778,82.75
0,14,,nan,nan,nan,nan,48.99701690673828,2.384002923965454,56.5
5,14,0,0.5403091311454773,0.8916060924530029,0.10839390754699707,0.6210227012634277,41.197471618652344,4.2048139572143555,62.25
10,14,5,0.5113912224769592,0.8718218803405762,0.12817811965942383,0.85546875,42.234527587890625,3.190601110458374,59.125
15,14,10,0.5015780925750732,0.883115291595459,0.11688470840454102,0.7215198874473572,43.00556945800781,7.802748680114746,268.25
20,14,15,0.6212869882583618,0.8534371256828308,0.1465628743171692,0.9504971504211426,36.19050979614258,13.0966157913208,482.0
25,14,20,0.5869213938713074,0.8648038506507874,0.13519614934921265,0.7952414751052856,36.711299896240234,3.505732297897339,117.375
29,14,25,1.0297261476516724,0.09737048298120499,0.902629517018795,1.0,105.66999816894531,0.5207812190055847,82.0
0,16,,nan,nan,nan,nan,49.85213088989258,2.3524575233459473,56.8125
5,16,0,0.5640566349029541,0.8858820199966431,0.11411798000335693,0.7066051363945007,41.21036148071289,4.140918731689453,61.53125
10,16,5,0.5175346732139587,0.8693330883979797,0.13066691160202026,0.8723011612892151,41.856136322021484,3.0102322101593018,56.8125
15,16,10,0.5031299591064453,0.8820966482162476,0.11790335178375244,0.7362216114997864,42.59618377685547,7.5775675773620605,268.5
20,16,15,0.623900830745697,0.8505813479423523,0.1494186520576477,0.9631391763687134,35.99933624267578,12.883159637451172,495.75
25,16,20,0.5931254029273987,0.8593378663063049,0.14066213369369507,0.8178266882896423,36.72084426879883,3.4475278854370117,116.375
29,16,25,1.029331922531128,0.10181189328432083,0.8981881067156792,1.0,104.25785064697266,0.5523585677146912,80.875
0,18,,nan,nan,nan,nan,50.49436569213867,2.2719244956970215,56.84375
5,18,0,0.5871685147285461,0.8803600072860718,0.11963999271392822,0.7667613625526428,41.06822967529297,4.056586742401123,60.6875
10,18,5,0.5240017771720886,0.8666707873344421,0.13332921266555786,0.8958096504211426,41.3830451965332,2.838322639465332,57.03125
15,18,10,0.5042076110839844,0.8810408115386963,0.11895918846130371,0.7531960010528564,42.148807525634766,7.297128200531006,270.0
20,18,15,0.6282139420509338,0.8479819297790527,0.15201807022094727,0.9740056991577148,35.795989990234375,12.735267639160156,494.75
25,18,20,0.6008888483047485,0.85377037525177,0.14622962474822998,0.8362926244735718,36.657264709472656,3.359804153442383,116.6875
29,18,25,1.0284361839294434,0.10758917033672333,0.8924108296632767,1.0,102.65992736816406,0.5754877924919128,79.8125
0,20,,nan,nan,nan,nan,51.07358932495117,2.220674991607666,56.9375
5,20,0,0.6083915829658508,0.8748014569282532,0.12519854307174683,0.8145596385002136,40.97868728637695,3.9714486598968506,59.6875
10,20,5,0.5296666622161865,0.8643003702163696,0.13569962978363037,0.9117187261581421,41.03080749511719,2.6811931133270264,55.6875
15,20,10,0.5055989027023315,0.8801665306091309,0.11983346939086914,0.7706676125526428,41.76776123046875,7.102086544036865,260.25
20,20,15,0.6319712400436401,0.8452348709106445,0.15476512908935547,0.9822443127632141,35.636173248291016,12.772202491760254,490.25
25,20,20,0.6094676852226257,0.8482820391654968,0.15171796083450317,0.8500000238418579,36.64356231689453,3.3092548847198486,116.625
29,20,25,1.0279206037521362,0.11300218850374222,0.8869978114962578,1.0,100.96089172363281,0.5993420481681824,78.375
0,30,,nan,nan,nan,nan,51.73934555053711,1.5852479934692383,55.875
5,30,0,0.6896314024925232,0.8474840521812439,0.1525159478187561,0.9303977489471436,39.988075256347656,3.5453999042510986,53.9375
10,30,5,0.5591909885406494,0.8500292897224426,0.14997071027755737,0.9736505746841431,39.34455490112305,2.1392037868499756,50.875
15,30,10,0.5112512111663818,0.8757604360580444,0.12423956394195557,0.8544744253158569,40.074554443359375,6.107463836669922,252.375
20,30,15,0.6535086631774902,0.8279148936271667,0.17208510637283325,0.9977272748947144,34.577938079833984,12.012677192687988,507.5
25,30,20,0.6421505212783813,0.820410966873169,0.17958903312683105,0.9318891763687134,36.39934158325195,3.023317575454712,113.625
29,30,25,1.0264172554016113,0.1440892070531845,0.8559107929468155,1.0,89.90523529052734,0.6440025568008423,69.5
0,40,,nan,nan,nan,nan,47.66356658935547,1.3539282083511353,51.90625
5,40,0,0.7215674519538879,0.8118454813957214,0.18815451860427856,0.9645596742630005,38.33401870727539,3.0511603355407715,48.25
10,40,5,0.5962346196174622,0.8301120400428772,0.1698879599571228,0.9995028376579285,37.30922317504883,1.7095277309417725,45.0625
15,40,10,0.5133184790611267,0.8723042607307434,0.1276957392692566,0.9311789870262146,38.301307678222656,5.029838562011719,234.375
20,40,15,0.6947178840637207,0.8022844195365906,0.19771558046340942,0.999218761920929,33.01834487915039,10.588701248168945,499.25
25,40,20,0.6624076962471008,0.7944273948669434,0.20557260513305664,0.9898437261581421,35.98310852050781,2.6313135623931885,107.5
29,40,25,1.029646873474121,0.20194236934185028,0.7980576306581497,1.0,70.24014282226562,0.6838346123695374,52.625
0,49,,nan,nan,nan,nan,40.76202392578125,1.6280148029327393,41.15625
5,49,0,0.8318024277687073,0.6805756092071533,0.3194243907928467,0.996874988079071,37.98340606689453,2.069267988204956,38.8125
10,49,5,0.6967039704322815,0.7865201234817505,0.2134798765182495,1.0,34.4927978515625,1.556443691253662,37.3125
15,49,10,0.5114211440086365,0.8680500388145447,0.13194996118545532,0.9892755746841431,36.234642028808594,3.3651998043060303,193.625
20,49,15,0.7361150979995728,0.7710561752319336,0.2289438247680664,0.9995738863945007,31.776697158813477,6.909050941467285,426.0
25,49,20,0.63368821144104,0.7945053577423096,0.20549464225769043,0.9843039512634277,36.92437744140625,1.8529142141342163,86.4375
29,49,25,1.1128323078155518,0.39804646372795105,0.601953536272049,1.0,35.969940185546875,3.108332872390747,30.1875
